Mes,Casos
10,0
39,0
70,38
100,561
131,4488
161,13009
192,31693
223,24285
253,17672
284,16193
314,14123
345,15950
376,21492
404,15038
435,19292
465,33837
496,26746
526,39166
557,74901
588,101793
618,90038
649,41257
679,16412
710,10375
741,61931
769,86701
800,51883
830,17672
861,14456
891,49712
922,131662
953,59578
983,22513
1014,16032
1044,15969
1075,47664
1099,20008
